Output: (pixels, (R, G, B)); Unique colors: 129
(3698, (32, 224, 251)
(700416, (195, 193, 194)
(4107, (219, 131, 54)
(698368, (195, 193, 196)
(5515, (203, 191, 52)
(698368, (195, 193, 190)
(5149, (129, 95, 151)
(58440, (114, 143, 113)
(1129, (113, 187, 196)
(11681, (103, 207, 213)
(3740, (32, 199, 223)
(17660, (90, 223, 231)
(5377, (89, 79, 228)
(3912, (84, 215, 233)
(3016, (74, 183, 199)
(193, (47, 43, 238)
(20601, (46, 207, 217)
(1223, (43, 39, 241)
(5504, (42, 151, 65)
(447, (39, 99, 107)
(1031, (34, 43, 216)
(1390, (33, 47, 123)
(1079, (32, 123, 143)
(279, (30, 51, 179)
(1534, (22, 123, 135)
(16717, (21, 227, 255)
(2345, (16, 187, 197)
(5386, (1, 211, 224)
(186053, (230, 230, 53)
(3759, (33, 59, 213)
(203, (206, 62, 62)
(5538, (199, 138, 80)
(192145, (197, 18, 195)
(700416, (195, 194, 189)
(700416, (193, 190, 185)
(1325, (150, 106, 204)
(4715, (230, 53, 103)
(1367, (132, 222, 244)
(515, (44, 44, 236)
(7918, (16, 172, 193)
(175658, (106, 214, 229)
(538, (9, 157, 189)
(3034, (34, 63, 190)
(4898, (84, 238, 239)
(1173, (82, 146, 160)
(1053, (80, 134, 146)
(1400, (195, 53, 230)
(1686, (70, 62, 179)
(3622, (64, 210, 219)
(2080, (61, 162, 174)
(822, (60, 82, 194)
(468088, (57, 186, 229)
(143, (53, 66, 230)
(7677, (51, 214, 237)
(3539, (49, 218, 243)
(2768, (45, 202, 235)
(4400, (44, 194, 214)
(285, (43, 50, 142)
(4619, (38, 234, 79)
(22139, (33, 218, 242)
(388206, (30, 126, 208)
(313, (23, 154, 170)
(3704, (23, 202, 228)
(1403, (22, 190, 200)
(298, (21, 18, 160)
(535, (18, 30, 187)
(604, (4, 82, 93)
(29010, (230, 53, 53)
(544, (226, 181, 181)
(168839, (201, 201, 108)
(1256, (200, 29, 195)
(698368, (195, 193, 181)
(698368, (185, 185, 185)
(3343, (178, 57, 57)
(939, (151, 113, 94)
(698368, (195, 193, 198)
(8954, (117, 101, 234)
(2066, (109, 73, 153)
(2637, (108, 57, 213)
(191, (104, 109, 185)
(5580, (88, 217, 235)
(8672, (83, 137, 157)
(753, (79, 177, 198)
(187688, (74, 53, 230)
(2320, (53, 157, 163)
(1752, (47, 189, 42)
(302, (46, 93, 229)
(818, (37, 33, 197)
(913, (30, 149, 174)
(12224, (28, 17, 177)
(4458, (14, 193, 237)
(336, (9, 5, 192)
(1889, (6, 13, 159)
(142286, (250, 20, 220)
(17377, (233, 84, 228)
(47, (223, 0, 153)
(698368, (194, 188, 180)
(698368, (192, 192, 192)
(3864, (169, 228, 166)
(1783, (163, 100, 45)
(259, (21, 139, 200)
(698368, (195, 193, 192)
(758, (139, 44, 136)
(7764, (138, 92, 21)
(40929, (136, 76, 58)
(127, (123, 20, 200)
(97, (122, 20, 200)
(255, (121, 20, 200)
(7301, (118, 124, 239)
(3112, (99, 148, 102)
(897, (95, 92, 224)
(1057, (94, 236, 244)
(4612, (71, 208, 242)
(674, (57, 96, 106)
(280, (52, 48, 226)
(847, (46, 204, 172)
(809, (44, 132, 152)
(700416, (195, 193, 200)
(1084, (38, 72, 243)
(653, (35, 112, 96)
(202080, (32, 192, 214)
(251967, (30, 164, 208)
(590, (29, 116, 134)
(229610, (25, 208, 234)
(627, (84, 163, 147)
(2534, (19, 220, 250)
(17258, (16, 192, 203)
(69116, (230, 161, 53)
(214, (5, 108, 192))
